neighbourhood_group,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_review,price
Queens,Hollis,Private room,1,5,3.0,3,89,1,50
Manhattan,Upper West Side,Entire home/apt,30,4,0.63,25,363,1,190
Manhattan,Little Italy,Entire home/apt,1,0,,1,0,0,250
Manhattan,Midtown,Entire home/apt,3,1,0.05,2,0,1,350
Manhattan,Upper East Side,Entire home/apt,3,0,,1,177,0,299
Manhattan,Inwood,Private room,2,4,0.39,1,359,1,60
Brooklyn,Fort Greene,Private room,3,14,0.64,1,35,1,75
Brooklyn,Bushwick,Private room,1,208,5.89,5,293,1,110
Brooklyn,Williamsburg,Private room,4,18,0.52,1,341,1,92
Manhattan,Lower East Side,Entire home/apt,30,54,3.4,5,193,1,110
Brooklyn,Park Slope,Entire home/apt,3,19,0.38,2,78,1,276
Manhattan,Midtown,Private room,1,14,4.72,1,0,1,65
Brooklyn,Williamsburg,Entire home/apt,365,0,,1,363,0,240
Manhattan,Upper East Side,Entire home/apt,25,1,0.05,2,207,1,150
Manhattan,East Harlem,Entire home/apt,2,0,,2,0,0,130
Brooklyn,Williamsburg,Private room,1,1,0.02,1,0,1,49
Brooklyn,Williamsburg,Private room,5,111,4.26,4,10,1,52
Manhattan,Upper East Side,Private room,1,20,0.42,2,278,1,99
Manhattan,Upper West Side,Private room,2,14,1.06,1,8,1,99
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,18,0.86,2,86,1,150
Manhattan,Hell's Kitchen,Private room,3,53,1.53,2,197,1,120
Manhattan,Chelsea,Entire home/apt,2,1,0.02,1,0,1,145
Brooklyn,Bedford-Stuyvesant,Shared room,30,1,0.17,2,339,1,19
Brooklyn,Bushwick,Private room,1,3,2.31,1,0,1,40
Manhattan,Upper East Side,Private room,60,9,0.16,2,90,1,69
Manhattan,Washington Heights,Private room,28,4,0.47,1,284,1,36
Queens,Jamaica,Private room,1,22,2.16,3,363,1,60
Brooklyn,Williamsburg,Private room,1,0,,1,0,0,115
Queens,Woodside,Private room,2,25,0.4,1,365,1,75
Brooklyn,Williamsburg,Private room,7,1,0.16,1,219,1,80
Brooklyn,Bedford-Stuyvesant,Private room,1,0,,1,0,0,75
Manhattan,Upper West Side,Entire home/apt,5,0,,1,0,0,206
Brooklyn,Williamsburg,Entire home/apt,1,3,0.06,1,0,1,210
Queens,Bayside,Private room,2,17,0.63,1,351,1,70
Brooklyn,Greenpoint,Entire home/apt,2,3,0.08,1,0,1,140
Brooklyn,Williamsburg,Private room,1,47,2.47,1,155,1,99
Manhattan,Midtown,Entire home/apt,2,0,,1,0,0,199
Manhattan,East Harlem,Private room,7,5,0.21,1,0,1,49
Manhattan,Harlem,Private room,2,3,0.08,1,0,1,42
Brooklyn,Prospect Heights,Entire home/apt,7,9,0.19,3,0,1,150
Manhattan,Upper East Side,Entire home/apt,3,0,,1,0,0,200
Queens,Kew Gardens Hills,Entire home/apt,2,0,,1,76,0,110
Brooklyn,Fort Greene,Private room,3,60,2.79,1,0,1,125
Brooklyn,Prospect Heights,Private room,1,6,0.12,1,0,1,65
Brooklyn,Williamsburg,Private room,2,2,0.05,1,0,1,80
Manhattan,Kips Bay,Entire home/apt,7,22,0.46,1,121,1,105
Queens,Jamaica,Private room,7,5,0.27,4,160,1,60
Brooklyn,East Flatbush,Private room,2,4,1.5,1,178,1,65
Manhattan,Murray Hill,Entire home/apt,30,1,0.08,50,364,1,175
Brooklyn,Crown Heights,Entire home/apt,2,24,0.57,1,0,1,155
Brooklyn,Bedford-Stuyvesant,Private room,1,3,0.07,2,0,1,65
Brooklyn,Greenpoint,Private room,6,0,,1,15,0,54
Queens,Howard Beach,Entire home/apt,1,13,1.84,1,346,1,207
Manhattan,East Harlem,Entire home/apt,2,12,0.2,1,0,1,129
Manhattan,Chelsea,Entire home/apt,30,1,0.39,232,310,1,321
Manhattan,East Village,Entire home/apt,2,7,0.11,1,312,1,170
Manhattan,Chelsea,Entire home/apt,110,6,0.26,19,332,1,89
Manhattan,Upper West Side,Entire home/apt,2,24,2.28,1,70,1,295
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,2,0.64,1,177,1,150
Brooklyn,Flatbush,Entire home/apt,4,10,0.78,1,228,1,197
Brooklyn,Williamsburg,Private room,1,0,,2,0,0,85
Manhattan,Upper West Side,Private room,30,0,,32,317,0,58
Brooklyn,Bedford-Stuyvesant,Private room,3,13,0.22,1,294,1,60
Brooklyn,Crown Heights,Entire home/apt,2,15,0.27,1,18,1,70
Brooklyn,Williamsburg,Entire home/apt,3,2,0.16,1,3,1,130
Manhattan,Upper West Side,Private room,2,25,1.48,1,0,1,85
Manhattan,Harlem,Entire home/apt,4,8,1.06,1,0,1,115
Brooklyn,Crown Heights,Private room,1,1,0.03,2,0,1,80
Manhattan,Upper West Side,Entire home/apt,30,0,,65,342,0,200
Manhattan,Hell's Kitchen,Entire home/apt,15,1,0.35,1,52,1,250
Queens,Jamaica,Private room,1,0,,18,365,0,135
Queens,Astoria,Private room,21,0,,1,0,0,65
Brooklyn,Flatbush,Entire home/apt,2,90,4.79,1,73,1,95
Manhattan,West Village,Entire home/apt,7,5,0.09,1,0,1,129
Brooklyn,Crown Heights,Entire home/apt,2,12,0.61,1,0,1,70
Brooklyn,Crown Heights,Private room,2,0,,2,21,0,100
Manhattan,Harlem,Private room,1,190,3.7,2,178,1,85
Manhattan,Upper West Side,Private room,1,0,,4,269,0,159
Brooklyn,Flatbush,Entire home/apt,2,147,2.09,3,275,1,95
Manhattan,Hell's Kitchen,Private room,2,105,3.09,1,0,1,140
Manhattan,East Harlem,Private room,1,22,0.81,1,0,1,100
Manhattan,Gramercy,Entire home/apt,30,5,0.16,1,154,1,90
Queens,Long Island City,Entire home/apt,3,5,0.16,1,0,1,78
Brooklyn,Kensington,Private room,4,0,,2,0,0,35
Manhattan,Washington Heights,Private room,1,3,0.05,1,0,1,60
Bronx,Allerton,Entire home/apt,5,1,0.16,1,157,1,90
Brooklyn,Williamsburg,Private room,2,99,2.1,8,100,1,60
Brooklyn,East Flatbush,Private room,2,263,2.69,2,136,1,50
Queens,Astoria,Entire home/apt,5,1,0.11,1,0,1,200
Manhattan,Hell's Kitchen,Entire home/apt,4,136,3.59,1,17,1,119
Brooklyn,Bedford-Stuyvesant,Private room,2,0,,2,189,0,65
Manhattan,Greenwich Village,Entire home/apt,5,0,,1,0,0,149
Manhattan,Hell's Kitchen,Entire home/apt,45,16,0.52,12,345,1,160
Manhattan,Kips Bay,Entire home/apt,1,0,,1,0,0,235
Brooklyn,Bushwick,Private room,1,14,5.32,4,78,1,70
Queens,Jackson Heights,Entire home/apt,9,11,0.16,1,362,1,110
Brooklyn,Williamsburg,Private room,2,0,,1,0,0,150
Manhattan,Hell's Kitchen,Entire home/apt,1,114,6.68,1,125,1,295
Manhattan,Upper East Side,Entire home/apt,6,2,1.36,1,9,1,120
Manhattan,East Harlem,Private room,1,63,3.74,1,12,1,89
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,3,0,,1,0,0,60
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,42,0.49,1,245,1,80
Manhattan,Hell's Kitchen,Entire home/apt,6,4,2.26,1,45,1,265
Brooklyn,Greenpoint,Private room,5,1,1.0,2,78,1,70
Brooklyn,Bedford-Stuyvesant,Private room,3,1,0.02,1,0,1,85
Manhattan,West Village,Entire home/apt,2,3,0.16,2,0,1,150
Brooklyn,Flatbush,Entire home/apt,4,17,0.78,1,95,1,200
Brooklyn,Prospect Heights,Entire home/apt,7,1,0.04,1,0,1,160
Brooklyn,Bedford-Stuyvesant,Private room,2,0,,1,0,0,69
Manhattan,Lower East Side,Private room,20,13,0.25,3,0,1,110
Manhattan,Chelsea,Entire home/apt,30,1,0.05,121,282,1,169
Manhattan,Upper East Side,Entire home/apt,2,0,,1,0,0,95
Brooklyn,East Flatbush,Entire home/apt,1,44,0.74,2,279,1,160
Queens,East Elmhurst,Private room,1,209,4.53,2,1,1,50
Manhattan,Harlem,Private room,1,19,1.34,1,356,1,60
Brooklyn,Crown Heights,Private room,30,5,0.93,2,0,1,50
Manhattan,Morningside Heights,Entire home/apt,2,11,0.57,1,0,1,100
Brooklyn,Williamsburg,Private room,2,8,1.57,2,8,1,70
Brooklyn,Bushwick,Private room,12,0,,1,14,0,60
Manhattan,East Village,Entire home/apt,4,18,0.52,1,0,1,105
Manhattan,West Village,Entire home/apt,1,4,0.06,1,0,1,200
Manhattan,Upper East Side,Entire home/apt,3,0,,1,0,0,175
Brooklyn,Park Slope,Private room,3,2,0.15,1,0,1,50
Manhattan,Lower East Side,Entire home/apt,3,4,0.09,1,0,1,250
Brooklyn,Williamsburg,Private room,2,0,,1,0,0,66
Manhattan,West Village,Entire home/apt,3,0,,1,0,0,100
Manhattan,East Harlem,Entire home/apt,2,1,1.0,1,1,1,125
Queens,Astoria,Private room,1,14,0.76,2,6,1,85
Brooklyn,Williamsburg,Entire home/apt,2,22,0.78,1,0,1,68
Manhattan,Chelsea,Private room,3,8,0.69,1,125,1,92
Queens,Long Island City,Private room,2,0,,2,14,0,93
Brooklyn,Crown Heights,Entire home/apt,1,39,2.44,1,38,1,105
Queens,Astoria,Private room,1,12,0.37,1,0,1,49
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,4,0,,1,0,0,115
Manhattan,Upper West Side,Private room,1,2,0.1,1,0,1,99
Manhattan,Theater District,Private room,1,27,5.79,1,94,1,115
Brooklyn,Bushwick,Private room,5,0,,1,0,0,45
Manhattan,East Harlem,Private room,3,22,3.42,1,23,1,100
Brooklyn,Crown Heights,Private room,1,4,0.09,1,0,1,60
Manhattan,Upper West Side,Private room,2,183,3.9,1,263,1,133
Queens,Ditmars Steinway,Entire home/apt,1,145,3.55,1,33,1,180
Manhattan,East Village,Entire home/apt,1,115,1.05,4,299,1,225
Bronx,Bronxdale,Private room,1,14,2.96,1,206,1,50
Queens,Jamaica,Entire home/apt,2,27,4.4,1,182,1,65
Manhattan,Morningside Heights,Entire home/apt,2,56,1.9,1,0,1,130
Brooklyn,Williamsburg,Private room,3,146,2.08,1,277,1,115
Brooklyn,Crown Heights,Entire home/apt,30,26,0.64,3,18,1,162
Brooklyn,Bushwick,Private room,1,90,4.26,1,42,1,59
Brooklyn,Bushwick,Private room,1,1,0.37,1,5,1,40
Bronx,Highbridge,Private room,2,32,2.07,3,17,1,80
Brooklyn,Bedford-Stuyvesant,Private room,2,5,0.56,1,0,1,50
Brooklyn,Bedford-Stuyvesant,Shared room,1,45,3.99,17,84,1,30
Manhattan,Hell's Kitchen,Entire home/apt,2,2,2.0,1,146,1,150
Manhattan,Upper East Side,Private room,9,3,0.11,1,0,1,80
Brooklyn,Windsor Terrace,Entire home/apt,4,75,2.16,1,216,1,99
Manhattan,Lower East Side,Entire home/apt,30,17,0.34,9,276,1,110
Manhattan,Upper West Side,Private room,2,72,2.55,2,275,1,115
Manhattan,Chelsea,Private room,30,30,0.27,2,364,1,98
Manhattan,Hell's Kitchen,Private room,1,4,0.61,30,363,1,199
Brooklyn,Williamsburg,Entire home/apt,1,35,1.29,2,9,1,235
Brooklyn,Brooklyn Heights,Entire home/apt,4,2,0.05,1,0,1,111
Manhattan,Theater District,Entire home/apt,1,1,0.02,1,0,1,250
Queens,Jackson Heights,Entire home/apt,7,2,0.04,1,0,1,90
Brooklyn,Williamsburg,Private room,8,1,1.0,1,157,1,80
Queens,St. Albans,Entire home/apt,3,11,0.45,2,355,1,239
Brooklyn,Prospect Heights,Entire home/apt,1,1,0.03,1,0,1,60
Brooklyn,East Flatbush,Private room,3,0,,7,320,0,110
Brooklyn,Williamsburg,Private room,1,52,1.29,2,25,1,75
Manhattan,East Village,Private room,1,209,6.45,1,203,1,70
Brooklyn,Bushwick,Private room,5,0,,1,0,0,37
Manhattan,Greenwich Village,Private room,6,0,,1,0,0,150
Queens,Rosedale,Private room,1,0,,2,365,0,70
Manhattan,Chinatown,Entire home/apt,1,1,0.25,5,364,1,175
Brooklyn,Bedford-Stuyvesant,Private room,1,3,0.43,1,0,1,34
Manhattan,Washington Heights,Entire home/apt,30,0,,2,339,0,150
Manhattan,Washington Heights,Entire home/apt,5,3,0.26,1,30,1,200
Staten Island,Tottenville,Entire home/apt,1,1,1.0,1,299,1,75
Brooklyn,Crown Heights,Private room,5,0,,1,0,0,80
Manhattan,Inwood,Private room,7,1,1.0,3,225,1,57
Manhattan,Hell's Kitchen,Shared room,1,81,6.09,8,192,1,69
Manhattan,Morningside Heights,Private room,2,126,3.4,1,12,1,76
Manhattan,Harlem,Entire home/apt,5,6,0.12,1,0,1,67
Brooklyn,Fort Greene,Private room,14,0,,1,0,0,150
Manhattan,SoHo,Entire home/apt,30,0,,1,32,0,150
Manhattan,Upper East Side,Entire home/apt,30,13,0.26,15,333,1,99
Bronx,Norwood,Entire home/apt,5,0,,1,89,0,130
Manhattan,Kips Bay,Entire home/apt,30,0,,5,214,0,310
Brooklyn,Gowanus,Entire home/apt,4,2,0.17,1,55,1,150
Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,31,0.33,1,218,1,125
Brooklyn,Williamsburg,Entire home/apt,2,0,,1,0,0,110
Manhattan,West Village,Entire home/apt,3,90,1.17,1,184,1,150
Manhattan,Chelsea,Shared room,1,61,0.71,2,0,1,50
Manhattan,Hell's Kitchen,Private room,2,430,3.47,1,220,1,79
Brooklyn,Bushwick,Private room,3,8,0.42,1,0,1,50
Queens,Woodside,Private room,1,0,,1,0,0,55
Queens,Ridgewood,Private room,7,14,0.24,1,365,1,100
Brooklyn,Cobble Hill,Entire home/apt,2,0,,1,0,0,165
Manhattan,East Harlem,Shared room,1,52,1.41,1,347,1,45
Manhattan,Upper West Side,Entire home/apt,3,1,1.0,1,14,1,250
Queens,Laurelton,Entire home/apt,1,31,3.01,1,361,1,75
Manhattan,Midtown,Entire home/apt,30,9,0.24,14,227,1,99
Brooklyn,Williamsburg,Entire home/apt,4,6,0.69,1,10,1,160
Brooklyn,Prospect-Lefferts Gardens,Private room,20,3,0.25,1,0,1,50
Brooklyn,East Flatbush,Private room,1,0,,1,0,0,50
Brooklyn,Prospect Heights,Private room,3,11,0.33,2,187,1,68
Staten Island,Prince's Bay,Entire home/apt,2,8,3.33,1,66,1,85
Brooklyn,Crown Heights,Private room,2,9,0.21,1,342,1,95
Manhattan,Chinatown,Entire home/apt,4,25,0.48,1,191,1,189
Manhattan,Hell's Kitchen,Private room,2,0,,1,0,0,75
Brooklyn,Williamsburg,Entire home/apt,3,144,2.06,1,128,1,250
Manhattan,Chelsea,Entire home/apt,1,8,0.23,1,0,1,193
Brooklyn,Bedford-Stuyvesant,Private room,2,18,2.49,2,333,1,53
Manhattan,East Harlem,Private room,3,95,1.88,1,175,1,90
Brooklyn,Park Slope,Entire home/apt,7,14,0.37,1,326,1,195
Manhattan,East Harlem,Entire home/apt,7,3,0.14,1,0,1,200
Queens,Jackson Heights,Private room,2,29,4.73,1,16,1,50
Brooklyn,Prospect Heights,Private room,3,38,1.88,2,66,1,75
Queens,East Elmhurst,Private room,1,16,0.65,1,0,1,40
Brooklyn,Prospect Heights,Private room,1,55,2.76,1,63,1,62
Brooklyn,Sunset Park,Entire home/apt,2,24,0.34,1,0,1,102
Manhattan,Chelsea,Entire home/apt,1,24,3.17,1,365,1,175
Brooklyn,Park Slope,Entire home/apt,3,4,0.07,1,0,1,275
Brooklyn,Williamsburg,Entire home/apt,2,27,0.72,1,0,1,325
Manhattan,Chinatown,Private room,2,5,0.8,1,2,1,95
Manhattan,Upper East Side,Entire home/apt,30,1,0.3,96,336,1,260
Brooklyn,Williamsburg,Entire home/apt,60,0,,1,263,0,135
Queens,Elmhurst,Private room,2,8,0.35,1,0,1,80
Manhattan,Upper East Side,Entire home/apt,2,19,0.45,1,13,1,130
Queens,Astoria,Private room,2,18,0.62,1,364,1,96
Brooklyn,Bushwick,Entire home/apt,1,0,,1,213,0,80
Queens,Jackson Heights,Private room,7,55,0.64,3,318,1,69
Brooklyn,Greenpoint,Private room,2,13,0.22,3,282,1,50
Manhattan,Washington Heights,Private room,1,155,4.42,1,314,1,75
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,4,37,2.18,1,0,1,90
Brooklyn,Sunset Park,Private room,2,1,0.03,1,0,1,60
Brooklyn,Williamsburg,Private room,6,0,,1,0,0,35
Queens,Woodhaven,Private room,2,9,1.03,2,180,1,90
Brooklyn,Crown Heights,Entire home/apt,2,0,,1,0,0,133
Manhattan,East Harlem,Private room,2,25,2.69,1,161,1,83
Queens,South Ozone Park,Private room,1,72,4.64,3,175,1,60
Manhattan,Upper West Side,Entire home/apt,4,42,1.44,1,9,1,85
Brooklyn,Crown Heights,Entire home/apt,4,2,0.2,1,32,1,110
Manhattan,East Harlem,Entire home/apt,1,11,1.34,3,356,1,150
Manhattan,East Village,Entire home/apt,2,3,0.08,1,0,1,250
Queens,Astoria,Entire home/apt,5,0,,1,0,0,130
Queens,Astoria,Entire home/apt,4,45,1.32,1,351,1,180
Brooklyn,Crown Heights,Private room,1,0,,1,0,0,50
Manhattan,Harlem,Private room,2,0,,1,0,0,69
Manhattan,Hell's Kitchen,Entire home/apt,10,58,0.49,1,75,1,150
Manhattan,Lower East Side,Entire home/apt,8,3,0.1,1,0,1,95
Manhattan,Kips Bay,Entire home/apt,30,13,0.25,1,274,1,250
Manhattan,Hell's Kitchen,Entire home/apt,1,139,5.95,1,265,1,300
Manhattan,Chelsea,Entire home/apt,2,1,0.03,1,0,1,210
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,70,3.52,2,248,1,80
Manhattan,Theater District,Private room,1,2,2.0,15,359,1,100
Brooklyn,Williamsburg,Private room,13,0,,1,0,0,55
Manhattan,Hell's Kitchen,Entire home/apt,2,27,0.63,1,8,1,179
Manhattan,Chelsea,Private room,2,7,0.36,1,0,1,155
Manhattan,Harlem,Private room,1,8,0.22,1,0,1,70
Brooklyn,Bushwick,Private room,1,3,0.08,1,0,1,65
Manhattan,Harlem,Entire home/apt,4,9,0.18,1,0,1,105
Manhattan,West Village,Entire home/apt,4,2,1.36,1,5,1,170
Brooklyn,Williamsburg,Entire home/apt,2,11,0.35,1,0,1,110
Manhattan,Nolita,Private room,60,6,0.15,1,0,1,59
Brooklyn,Williamsburg,Entire home/apt,4,112,1.49,1,127,1,116
Brooklyn,Williamsburg,Private room,2,152,2.5,2,80,1,65
Brooklyn,Williamsburg,Private room,3,7,0.15,1,278,1,130
Manhattan,Kips Bay,Private room,3,61,1.94,1,137,1,115
Brooklyn,Williamsburg,Entire home/apt,7,10,0.45,1,5,1,250
Manhattan,East Village,Private room,4,0,,1,0,0,90
Brooklyn,Greenpoint,Entire home/apt,30,0,,1,312,0,128
Staten Island,New Dorp Beach,Entire home/apt,1,0,,1,0,0,62
Manhattan,East Village,Private room,2,3,0.08,1,0,1,80
Manhattan,Upper East Side,Entire home/apt,7,1,0.03,1,0,1,65
Brooklyn,Bushwick,Private room,2,10,1.09,1,79,1,200
Brooklyn,Williamsburg,Private room,1,0,,1,0,0,200
Manhattan,East Harlem,Shared room,1,5,2.31,7,90,1,60
Brooklyn,Bushwick,Entire home/apt,5,8,0.22,2,0,1,45
Brooklyn,Flatbush,Entire home/apt,1,10,0.23,1,0,1,100
Manhattan,Greenwich Village,Entire home/apt,1,1,0.02,1,0,1,225
Manhattan,Hell's Kitchen,Entire home/apt,30,0,,12,343,0,225
Manhattan,Upper West Side,Entire home/apt,30,8,0.11,8,346,1,191
Brooklyn,Kensington,Entire home/apt,1,0,,1,0,0,100
Brooklyn,Bedford-Stuyvesant,Private room,2,2,0.08,1,0,1,200
Manhattan,East Village,Private room,5,1,0.28,1,0,1,90
Manhattan,Harlem,Private room,1,154,4.03,1,361,1,65
Manhattan,Midtown,Private room,1,140,7.39,3,321,1,105
Brooklyn,Bushwick,Private room,2,7,0.96,1,36,1,55
Queens,East Elmhurst,Entire home/apt,1,2,0.16,1,0,1,50
Manhattan,Harlem,Private room,2,55,1.52,1,0,1,50
Manhattan,East Village,Entire home/apt,2,5,0.08,1,0,1,160
Queens,Long Island City,Private room,1,0,,1,0,0,159
Brooklyn,Bay Ridge,Private room,14,3,0.46,1,0,1,40
Brooklyn,Bushwick,Private room,10,20,0.34,1,0,1,35
Brooklyn,Flatbush,Entire home/apt,4,1,0.08,1,20,1,150
Manhattan,Upper West Side,Entire home/apt,1,2,0.1,1,0,1,118
Manhattan,East Harlem,Entire home/apt,1,81,3.98,1,65,1,185
Manhattan,Harlem,Shared room,1,1,0.21,1,90,1,100
Manhattan,Inwood,Private room,4,0,,1,0,0,80
Brooklyn,Bushwick,Private room,5,0,,1,0,0,40
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,8,2.29,1,126,1,120
Brooklyn,Bedford-Stuyvesant,Private room,1,0,,1,0,0,70
Manhattan,Chelsea,Private room,3,0,,1,0,0,80
Staten Island,St. George,Entire home/apt,1,105,2.3,1,258,1,144
Brooklyn,Gravesend,Shared room,7,0,,6,365,0,25
Manhattan,Hell's Kitchen,Private room,2,1,0.04,1,0,1,350
Brooklyn,Sunset Park,Entire home/apt,4,79,3.97,2,137,1,99
Manhattan,Harlem,Private room,2,3,0.34,1,0,1,80
Brooklyn,Park Slope,Entire home/apt,5,0,,1,22,0,395
Manhattan,Lower East Side,Entire home/apt,2,17,0.35,1,0,1,198
Manhattan,East Harlem,Entire home/apt,4,4,0.08,1,0,1,155
Brooklyn,Bedford-Stuyvesant,Entire home/apt,5,0,,1,0,0,300
Brooklyn,Clinton Hill,Entire home/apt,1,2,0.04,1,0,1,350
Manhattan,Marble Hill,Entire home/apt,5,0,,1,0,0,90
Manhattan,Inwood,Private room,1,128,6.03,1,67,1,60
Manhattan,Upper East Side,Private room,30,0,,6,39,0,38
Manhattan,Murray Hill,Entire home/apt,2,0,,1,0,0,130
Manhattan,East Harlem,Entire home/apt,1,7,0.42,1,0,1,118
Queens,Ditmars Steinway,Private room,1,0,,1,363,0,125
Manhattan,Hell's Kitchen,Private room,1,0,,1,0,0,90
Manhattan,Chelsea,Entire home/apt,5,5,0.45,1,0,1,149
Brooklyn,Williamsburg,Private room,2,23,2.0,1,103,1,89
Manhattan,Harlem,Private room,30,3,0.46,103,189,1,33
Brooklyn,East Flatbush,Entire home/apt,4,15,1.27,1,174,1,79
Brooklyn,Brownsville,Entire home/apt,2,73,2.34,1,82,1,129
Manhattan,East Village,Private room,1,4,0.16,1,0,1,82
Brooklyn,Park Slope,Entire home/apt,2,2,0.08,1,0,1,153
Brooklyn,Williamsburg,Private room,1,1,0.02,1,0,1,50
Brooklyn,Bedford-Stuyvesant,Private room,5,2,0.1,1,0,1,65
Manhattan,Harlem,Entire home/apt,1,15,5.23,1,9,1,160
Bronx,Fordham,Private room,3,86,2.88,10,78,1,79
Manhattan,East Village,Private room,28,23,0.38,3,125,1,89
Queens,Forest Hills,Private room,2,3,0.13,3,364,1,125
Brooklyn,Windsor Terrace,Entire home/apt,2,0,,1,35,0,300
Queens,Flushing,Private room,1,6,5.45,1,74,1,50
Brooklyn,Williamsburg,Entire home/apt,2,85,1.99,2,4,1,90
Queens,Astoria,Entire home/apt,4,19,3.0,1,31,1,100
Brooklyn,Greenpoint,Entire home/apt,30,2,0.06,52,358,1,149
Brooklyn,Sunset Park,Entire home/apt,2,130,3.48,2,306,1,225
Brooklyn,Greenpoint,Entire home/apt,30,3,0.16,4,261,1,185
Queens,Sunnyside,Private room,2,132,3.23,1,14,1,88
Brooklyn,Bushwick,Entire home/apt,5,26,0.77,1,269,1,105
Manhattan,Little Italy,Private room,3,17,2.34,1,84,1,130
Brooklyn,Bushwick,Private room,3,172,6.37,3,169,1,80
Manhattan,Harlem,Private room,1,4,0.11,1,0,1,70
Queens,Sunnyside,Entire home/apt,1,4,0.11,1,0,1,85
Manhattan,Nolita,Entire home/apt,1,9,0.97,1,11,1,140
Manhattan,Greenwich Village,Entire home/apt,1,39,2.73,1,49,1,225
Manhattan,Midtown,Entire home/apt,30,0,,121,352,0,239
Manhattan,Upper East Side,Private room,14,6,0.41,2,14,1,75
Brooklyn,Greenpoint,Private room,3,36,0.36,28,79,1,179
Manhattan,Financial District,Private room,3,55,2.95,1,26,1,175
Manhattan,Financial District,Entire home/apt,29,0,,96,241,0,222
Manhattan,Gramercy,Entire home/apt,3,52,3.2,1,3,1,100
Brooklyn,Flatlands,Entire home/apt,1,9,1.44,2,7,1,300
Brooklyn,Clinton Hill,Private room,365,0,,1,90,0,225
Manhattan,East Village,Private room,1,133,7.19,1,14,1,150
Brooklyn,Bushwick,Private room,1,8,0.14,1,0,1,25
Brooklyn,Williamsburg,Entire home/apt,2,145,4.03,2,230,1,195
Manhattan,Upper East Side,Entire home/apt,3,1,0.16,1,0,1,125
Brooklyn,Williamsburg,Entire home/apt,10,1,0.03,2,6,1,184
Manhattan,Upper West Side,Entire home/apt,12,1,0.16,1,289,1,145
Manhattan,Greenwich Village,Private room,2,60,2.37,1,125,1,150
Manhattan,Inwood,Entire home/apt,2,5,0.23,1,20,1,87
Brooklyn,Williamsburg,Private room,4,30,0.34,1,139,1,65
Manhattan,Hell's Kitchen,Entire home/apt,30,8,0.24,31,332,1,107
Brooklyn,Greenpoint,Private room,1,3,0.05,3,0,1,75
Brooklyn,Williamsburg,Entire home/apt,3,31,0.57,1,0,1,210
Manhattan,Gramercy,Entire home/apt,2,0,,1,0,0,175
Manhattan,West Village,Entire home/apt,1,58,0.91,1,99,1,120
Manhattan,Midtown,Entire home/apt,2,3,0.2,1,0,1,119
Manhattan,Harlem,Private room,3,18,0.39,1,362,1,180
Manhattan,Lower East Side,Entire home/apt,2,8,0.17,4,297,1,250
Brooklyn,Bushwick,Private room,2,0,,1,0,0,44
Manhattan,Midtown,Entire home/apt,30,0,,232,341,0,365
Brooklyn,Williamsburg,Private room,22,21,0.34,4,313,1,79
Brooklyn,Crown Heights,Entire home/apt,2,160,1.95,1,255,1,195
Queens,Astoria,Private room,2,15,2.07,3,13,1,89
Bronx,Wakefield,Private room,1,52,5.4,3,363,1,65
Brooklyn,Bushwick,Private room,7,2,0.06,1,0,1,50
Queens,Jamaica,Private room,1,19,0.85,2,177,1,80
Brooklyn,Bedford-Stuyvesant,Private room,21,1,0.86,1,10,1,50
Brooklyn,Clinton Hill,Entire home/apt,1,179,3.56,2,118,1,110
Brooklyn,Bedford-Stuyvesant,Private room,1,36,3.23,1,29,1,150
Brooklyn,Williamsburg,Private room,58,1,0.16,1,15,1,40
Manhattan,Hell's Kitchen,Private room,7,3,0.52,47,324,1,62
Manhattan,East Harlem,Private room,21,2,0.46,2,61,1,53
Queens,Corona,Private room,1,6,2.43,2,164,1,50
Manhattan,East Harlem,Private room,3,17,1.27,1,77,1,69
Brooklyn,Williamsburg,Entire home/apt,20,7,0.21,1,327,1,100
Manhattan,Theater District,Private room,2,100,5.35,1,18,1,95
Manhattan,Greenwich Village,Private room,2,1,0.04,2,0,1,100
Bronx,Concourse Village,Private room,2,0,,2,81,0,70
Bronx,Wakefield,Private room,2,10,0.85,1,365,1,60
Brooklyn,Williamsburg,Private room,1,19,1.11,2,0,1,80
Brooklyn,Bushwick,Private room,1,1,0.02,1,0,1,75
Manhattan,Chelsea,Entire home/apt,2,47,0.74,1,194,1,285
Manhattan,Harlem,Entire home/apt,2,31,0.54,1,0,1,150
Brooklyn,Williamsburg,Private room,2,0,,1,282,0,75
Manhattan,Hell's Kitchen,Entire home/apt,30,3,0.21,31,270,1,100
Brooklyn,Vinegar Hill,Entire home/apt,1,1,0.25,1,89,1,240
Queens,Flushing,Entire home/apt,3,10,2.68,1,51,1,189
Brooklyn,Prospect Heights,Entire home/apt,1,3,1.1,1,20,1,195
